2025-11-12 21:07:22,870 | DEBUG | dictator.logging_setup | Logging initialized in logs\run-20251112-210722
2025-11-12 21:07:22,870 | INFO | DictatorService | Logging initialized (run_dir=logs\run-20251112-210722, structured=True)
2025-11-12 21:07:22,870 | DEBUG | DictatorService.ThreadMonitor | Thread monitor enabled (interval=30.0s)
2025-11-12 21:07:22,871 | DEBUG | DictatorService.ThreadMonitor | Starting thread monitor (interval=30.0s)
2025-11-12 21:07:22,903 | INFO | DictatorService | 🎙️ Dictator Service initializing...
2025-11-12 21:07:22,903 | INFO | DictatorService.ThreadMonitor | Thread snapshot: total=40, top=[{'id': 30432, 'name': 'MainThread', 'cpu_ms': 14671.88}, {'id': 34648, 'name': 'unknown', 'cpu_ms': 5171.88}, {'id': 2668, 'name': 'unknown', 'cpu_ms': 1421.88}, {'id': 25364, 'name': 'unknown', 'cpu_ms': 1421.88}, {'id': 7240, 'name': 'unknown', 'cpu_ms': 1421.88}]
2025-11-12 21:07:22,904 | INFO | DictatorService | 📦 Loading Whisper model 'large-v3' on cuda...
2025-11-12 21:07:22,904 | INFO | DictatorService |    Using faster-whisper with compute_type=float16
2025-11-12 21:07:22,904 | DEBUG | httpcore.connection | close.started
2025-11-12 21:07:22,904 | DEBUG | httpcore.connection | close.complete
2025-11-12 21:07:22,905 | DEBUG | httpcore.connection | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=None socket_options=None
2025-11-12 21:07:22,931 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B7CAE6BD40>
2025-11-12 21:07:22,931 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000002B4D2F6B070> server_hostname='huggingface.co' timeout=None
2025-11-12 21:07:22,935 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B7CAE6A5D0>
2025-11-12 21:07:22,935 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-11-12 21:07:22,936 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-11-12 21:07:22,936 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-11-12 21:07:22,936 | DEBUG | httpcore.http11 | send_request_body.complete
2025-11-12 21:07:22,936 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2025-11-12 21:07:23,073 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'4600'), (b'Connection', b'keep-alive'), (b'Date', b'Thu, 13 Nov 2025 00:07:22 GMT'), (b'ETag', b'W/"11f8-OdbdQ9ef6Cr/xpj0m27tBd+pzac"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6915213a-6d0a38050bbdee3f4bb3d67e;e3b468b8-673c-4814-848d-eaf42dfff2ca'), (b'RateLimit', b'"api";r=499;t=297'), (b'RateLimit-Policy', b'"fixed window";"api";q=500;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 0f269dfc4e9cde17231eae35051f52e4.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'GIG52-P2'), (b'X-Amz-Cf-Id', b'WDvI0UbV9s_iWtP8GLS_o_HHpxwD5nX6EvHxP4q0BIH_31UvcenXDA==')])
2025-11-12 21:07:23,073 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-large-v3/revision/main "HTTP/1.1 200 OK"
2025-11-12 21:07:23,074 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2025-11-12 21:07:23,074 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-11-12 21:07:23,074 | DEBUG | httpcore.http11 | response_closed.started
2025-11-12 21:07:23,074 | DEBUG | httpcore.http11 | response_closed.complete
2025-11-12 21:07:25,204 | INFO | DictatorService | ✅ Model 'large-v3' loaded successfully on cuda!
2025-11-12 21:07:25,204 | INFO | DictatorService | 🎮 Using GPU: NVIDIA GeForce RTX 5080 (15.9 GB VRAM)
2025-11-12 21:07:25,205 | INFO | DictatorService | 🎤 Loading TTS engine...
2025-11-12 21:07:25,205 | INFO | KokoroTTS | 🎤 Loading Kokoro TTS (model=kokoro-v1.0.onnx)...
